Sheet,Period,Profile,Fund_Name,ISIN,Initial_Price,Final_Price,Return_Pct,Weight,Weighted_Return
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil A,Fidelity Funds Global Multi Asset Income A Acc USD,LU0905233846,13.3,14.36,0.079699,0.5,0.03985
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil A,Fidelity Funds Global Multi Asset Income A Acc USD,LU0905233846,14.36,14.51,0.010446,0.25,0.002612
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil A,JPM US Bond A Acc USD,LU0070215933,261.39,258.78,-0.009985,0.15,-0.001498
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil A,JPM US Bond A Acc USD,LU0070215933,258.78,259.55,0.002976,0.25,0.000744
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil A,PIMCO Global Investment Grade Credit E Acc USD I,IE00B3K7XK29,19.51,19.58,0.003588,0.1,0.000359
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil A,PIMCO Global Investment Grade Credit E Acc USD I,IE00B3K7XK29,19.58,19.67,0.004597,0.25,0.001149
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil A,Harmony Portfolios US Dollar Growth C Acc USD,LU0651986738,1.7,1.97,0.158824,0.25,0.039706
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil A,Harmony Portfolios US Dollar Growth C Acc USD,LU0651986738,1.97,1.99,0.010152,0.25,0.002538
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil B,PIMCO Global Investment Grade Credit E Acc USD,IE00B3K7XK29,19.51,19.58,0.003588,0.2,0.000718
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil B,Fidelity Funds Global Multi Asset Income A Acc USD,LU0905233846,14.17,14.51,0.023994,0.1,0.002399
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil B,Ninety One GSF Global Franchise A Acc USD,LU0426412945,65.91,77.51,0.175998,0.2,0.0352
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil B,JPM US Bond A Acc USD,LU0070215933,257.5,259.55,0.007961,0.1,0.000796
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil B,Harmony Portfolios US Dollar Growth C Acc USD,LU0651986738,1.7,1.97,0.158824,0.5,0.079412
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil B,PIMCO Global Investment Grade Credit E Acc USD I,IE00B3K7XK29,19.52,19.67,0.007684,0.1,0.000768
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil B,BlackRock GF World Technology A2 Acc USD,LU0056508442,64.41,81.4,0.263779,0.05,0.013189
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil B,Ninety One GSF Global Franchise A Acc USD,LU0426412945,77.51,78.31,0.010321,0.1,0.001032
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil B,Polar Capital Healthcare Opportunities R USD,IE00B3NLTK32,54.49,64.1,0.176363,0.05,0.008818
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil B,Harmony Portfolios US Dollar Growth C Acc USD,LU0651986738,1.97,1.99,0.010152,0.35,0.003553
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil B,Schroder ISF Emerging Markets A Acc USD,LU0106252389,21.58,21.97,0.018072,0.1,0.001807
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil B,DWS Noor Precious Metals Securities A Acc USD,IE00BMF77083,0.73,0.86,0.178082,0.05,0.008904
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil C,Ninety One GSF Global Franchise A Acc USD,LU0426412945,68.39,78.35,0.145635,0.15,0.021845
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil B,JPM Global Natural Resources A Acc USD,LU0266512127,10.84,11.71,0.080258,0.05,0.004013
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil C,Harmony Portfolios US Dollar Growth C Acc USD,LU0651986738,1.7,1.97,0.158824,0.5,0.079412
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil B,Guinness Global Innovators C Acc USD,IE00BQXX3F31,21.25,21.88,0.029647,0.05,0.001482
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil C,Schroder ISF Emerging Markets A Acc USD,LU0106252389,16.38,21.65,0.321734,0.1,0.032173
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil C,Polar Capital Biotechnology R USD,IE00B3XLHR60,31.38,40.5,0.290631,0.04,0.011625
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil C,BlackRock GF World Technology A2 Acc USD,LU0056508442,64.41,81.4,0.263779,0.06,0.015827
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil C,Harmony Portfolios US Dollar Growth C Acc USD,LU0651986738,1.97,1.99,0.010152,0.35,0.003553
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil C,Polar Capital Healthcare Opportunities R USD,IE00B3NLTK32,54.49,64.1,0.176363,0.07,0.012345
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil C,Schroder ISF Emerging Markets A Acc USD,LU0106252389,21.58,21.97,0.018072,0.15,0.002711
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil C,DWS Noor Precious Metals Securities A Acc USD I,IE00BMF77083,0.91,0.78,-0.142857,0.04,-0.005714
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil C,DWS Noor Precious Metals Securities A Acc USD,IE00BMF77083,0.73,0.86,0.178082,0.05,0.008904
RL360,Portafolio Modelo Junio 2020 - Marzo 2021,Perfil C,JPM Global Natural Resources A Acc USD,LU0266512127,8.41,11.48,0.365042,0.04,0.014602
RL360,Portafolio Modelo Marzo 2021 - Abril 2021,Perfil C,JPM Global Natural Resources A Acc USD,LU0266512127,10.84,11.71,0.080258,0.05,0.004013
